id,area_px,perimetro_px,excentricidad,solidez,diametro_equiv,intensidad_media,intensidad_min,intensidad_max,centroide_x,centroide_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
27,975.0,116.22539674441619,0.6782119294024197,0.9730538922155688,35.233628199729644,64.93846153846154,4.0,222.0,267.9374358974359,384.4984615384615,249,368,288,402
28,1689.0,154.71067811865476,0.5748886982823138,0.9679083094555874,46.37350095752627,50.560094730609826,0.0,212.0,335.7815275310835,283.97276494967434,316,257,358,309
29,1113.0,123.88225099390857,0.5604540346723107,0.9729020979020979,37.64459607022283,55.18418688230009,4.0,213.0,208.61455525606468,68.6774483378257,189,51,230,88
30,1306.0,133.63961030678928,0.5733946195442886,0.9797449362340586,40.77806819142028,55.69908116385911,1.0,236.0,59.62021439509954,212.67304747320063,41,191,79,235
31,1385.0,137.53910524340094,0.5483489029651867,0.9787985865724381,41.99329433919421,54.95018050541516,4.0,201.0,77.65848375451263,246.9407942238267,57,224,98,269
32,1383.0,139.63961030678928,0.6230620927054625,0.9766949152542372,41.962963317296,58.23499638467101,3.0,243.0,234.30296456977584,98.20968908170643,211,80,258,118
33,1402.0,140.71067811865476,0.601434752065212,0.9729354614850798,42.25022889545923,53.37303851640514,0.0,220.0,198.29457917261055,261.2574893009986,180,238,219,286
34,1105.0,123.15432893255071,0.6057895587201442,0.976148409893993,37.50906153094682,57.44343891402715,1.0,238.0,206.10497737556562,217.45158371040725,187,201,226,237
35,1063.0,120.5685424949238,0.5959847508376831,0.9752293577981651,36.78931415579092,55.055503292568204,3.0,221.0,159.30950141110065,59.48447789275635,139,43,180,76
36,954.0,115.05382386916237,0.567204985166418,0.9675456389452333,34.8521236896311,67.03144654088051,1.0,225.0,354.7327044025157,181.4517819706499,337,164,375,199
37,1657.0,153.6812408671319,0.572129339411306,0.9770047169811321,45.93210125420091,54.542546771273386,2.0,202.0,167.03560651780325,162.37115268557633,145,136,189,189
38,741.0,98.66904755831214,0.44879002666120066,0.9801587301587301,30.71596494738128,54.225371120107965,1.0,194.0,68.48178137651821,281.7422402159244,54,268,85,298
