id,area_px,perimetro_px,excentricidad,solidez,diametro_equiv,intensidad_media,centroide_x,centroide_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
22,556.0,110.36753236814712,0.9607733680810422,0.9235880398671097,26.60678836073137,153.82194244604315,265.2140287769784,36.44244604316547,248,18,283,56
23,731.0,136.66904755831212,0.9657852047275096,0.852975495915986,30.508000708034015,134.18741450068399,164.6073871409029,747.2749658002735,135,738,194,757
24,652.0,120.56854249492379,0.9535977506860183,0.8834688346883469,28.812361638146328,153.00613496932516,669.9754601226994,140.77147239263803,647,129,694,156
25,586.0,121.94112549695429,0.9734156251680318,0.9141965678627145,27.315167457198672,151.1433447098976,152.57167235494882,592.9709897610921,126,585,178,602
26,763.0,140.5685424949238,0.972584724710584,0.8861788617886179,31.1686023528956,115.13499344692005,48.395806028833555,593.743119266055,19,581,77,607
27,734.0,143.35533905932738,0.9796931889324314,0.905055487053021,30.570538527078803,133.08446866485014,129.80517711171663,796.1757493188011,99,789,162,804
28,755.0,135.1126983722081,0.9706710879568133,0.9263803680981595,31.004771508189638,119.38940397350993,529.9854304635761,400.1562913907285,502,393,561,410
29,661.0,131.25483399593904,0.9701415372798189,0.8932432432432432,29.010538413996088,151.45990922844175,157.36762481089258,24.049924357034797,144,0,170,51
30,859.0,143.69848480983498,0.9686559596160904,0.9347116430903155,33.0713285026094,84.9464493597206,870.6181606519208,566.4447031431897,841,558,903,575
31,757.0,145.53910524340094,0.974839196020476,0.8300438596491229,31.045810270703488,156.05812417437252,559.0739762219287,30.90885072655218,532,13,589,46
32,612.0,119.94112549695429,0.9674436606749404,0.9120715350223547,27.914558950087667,126.64869281045752,144.05555555555554,576.6486928104575,119,569,170,586
33,639.0,118.76955262170047,0.9576440538439353,0.9141630901287554,28.523675588636344,87.28012519561815,322.86854460093895,935.1361502347418,297,928,347,945
34,713.0,131.1126983722081,0.9679139309364642,0.9152759948652118,30.130048048354833,108.24263674614306,300.0631136044881,916.8387096774194,273,908,329,925
35,1133.0,188.08326112068522,0.9825515483111432,0.9064,37.98131651463571,153.5216240070609,37.73433362753751,143.6963812886143,0,132,79,157
36,972.0,177.63961030678928,0.9796959969903541,0.7641509433962265,35.17938085701024,133.95267489711935,824.8559670781893,82.23353909465021,788,66,861,95
37,732.0,136.91168824543144,0.9701669813762369,0.8840579710144928,30.52886088189566,96.6584699453552,41.028688524590166,575.8811475409836,13,565,69,590
38,541.0,112.8700576850888,0.9673063585238539,0.9311531841652324,26.245429958408437,141.0720887245841,440.7818853974122,775.1940850277265,418,769,467,783
39,681.0,133.4558441227157,0.977349947784088,0.9153225806451613,29.44615645486938,129.35976505139502,102.76211453744493,810.3568281938326,74,803,133,818
40,767.0,145.1543289325507,0.9736220554041076,0.8465783664459161,31.25019569237719,90.24119947848762,379.625814863103,947.7835723598436,351,934,411,960
41,608.0,114.71067811865476,0.9581446894470994,0.9368258859784283,27.823185353208192,125.9095394736842,120.90460526315789,767.3536184210526,105,747,137,789
42,1791.0,280.8111831820431,0.9910430303786353,0.8155737704918032,47.75324098551507,164.48129536571747,67.43271915131211,255.45170295924063,2,246,129,266
43,563.0,105.98275605729688,0.9418279974373981,0.9383333333333334,26.77375326109316,143.7246891651865,245.14209591474244,537.9484902309059,226,525,266,552
44,588.0,116.97056274847714,0.9713279688206994,0.9607843137254902,27.361740666563517,180.37244897959184,120.56122448979592,71.49319727891157,96,65,147,78
45,653.0,127.49747468305831,0.9688382744608686,0.8920765027322405,28.834448541840736,144.77029096477796,371.4257274119449,658.2358346094946,346,648,399,671
46,733.0,145.82337649086284,0.9794672154361017,0.8757467144563919,30.549706811864404,141.28103683492498,308.2796725784448,77.58526603001364,284,57,335,102
47,980.0,157.49747468305833,0.96996520513324,0.9315589353612167,35.32385530828224,75.54183673469387,397.24795918367346,311.75612244897957,365,300,431,325
48,662.0,128.81118318204307,0.9690605098296536,0.9168975069252078,29.03247455203703,136.79154078549848,285.52114803625375,707.6450151057402,260,694,312,721
49,739.0,127.45584412271572,0.9645735900878339,0.9672774869109948,30.67448489476694,84.48985115020298,898.9052774018944,551.2422192151556,871,544,927,559
50,600.0,114.08326112068522,0.9549526856654669,0.9360374414976599,27.63953195770684,81.55333333333333,386.2083333333333,930.9683333333334,364,920,410,943
51,806.0,151.9827560572969,0.9730132354917446,0.8300720906282183,32.03484154879717,115.2258064516129,66.29776674937965,859.7568238213399,34,847,98,869
52,585.0,122.18376618407356,0.9708966981925276,0.9,27.29185104880338,157.37094017094017,816.1179487179487,71.5008547008547,790,62,841,81
53,592.0,113.94112549695427,0.9574874927158236,0.925,27.45465007031079,116.92398648648648,546.9898648648649,413.3935810810811,523,404,571,422
54,730.0,145.29646455628165,0.9753035875365373,0.8220720720720721,30.487126261041215,135.42739726027398,910.3164383561644,277.38493150684934,882,264,939,295
55,702.0,134.36753236814712,0.9708823484202628,0.8571428571428571,29.896724911001275,140.46723646723646,262.82763532763533,714.2649572649573,238,697,290,730
56,715.0,133.35533905932738,0.9700052866460991,0.885997521685254,30.172276587716105,160.13286713286712,79.3902097902098,11.612587412587413,53,2,110,21
57,890.0,141.698484809835,0.9640682186029655,0.9338929695697796,33.66278649806482,144.73370786516853,30.834831460674156,420.07191011235955,2,411,62,430
58,866.0,169.82337649086284,0.9807343242688671,0.7629955947136564,33.20580439833751,88.07852193995382,981.4341801385681,851.8926096997691,949,832,1012,877
